phrase_number,category,tags
1272,names,Kalākaua
1275,names,"Cook, Captain"
1287,names,Hi'iaka
1289,names,Kalani'ōpu'u
1289,names,Mahihelelima
1289,names,Puna
1292,names,'Īmakakoloa
1292,names,Kamakau
1292,names,Kili'oewa
1303,names,Lono-a-ipu
1303,names,Mai'ihi-ala-kapu-o-Lono
1311,names,Kalākaua
1316,names,Kāne
1320,names,Kaholowaho
1346,names,Kamehameha-nui-'ai-'lii'au
1346,names,Kekaulike
1347,names,Kaipalaoa
1394,names,Kekuaokalani
1400,names,Kanekina
1401,names,Hikapoloa
1409,names,Kāne
1410,names,Pele
1419,names,Kahilikolo
1419,names,Kūka'ōpua
1422,names,Mauliola
1424,names,Kamaluohua
1424,names,Ku
1424,names,Kūkūonā
1425,names,Pōhaku-o-Hauola
1425,names,Pōhaku-o-Kāne
1425,names,Pōku'i
1426,names,Luali'i
1426,names,Puali'i
1431,names,Kalākaua
1434,names,Noah
1437,names,Kapō
1450,names,Mo'ikeha
1473,names,Kaka'e
1485,names,Kana
1485,names,Moi
1485,names,Niheu
1487,names,Mele Wile
1487,names,"Shipman, William and Mary"
1488,names,Manokalanipō
1510,names,Mamala
1515,names,'Uli
1522,names,Hi'iaka
1523,names,Kauahoa
1523,names,Kawelo
1524,names,Hi'iaka
1524,names,Lohi'au
1524,names,Wahine'ōma'o
1525,names,Bob
1525,names,Ka'upena
1525,names,Manuia
1530,names,Kamohoali'i
1530,names,Pele
1533,names,Moli
1534,names,Hi'iaka
1536,names,Hi'iaka
1537,names,Kaka'e
1546,names,Ma'ori
1548,names,Apuakea
1556,names,Manokalanipō
1574,names,Kahalaopuna
1574,names,Kahaukani
1574,names,Kuahine
1576,names,Ka'upena
1578,names,Ka'eokulani
1619,names,Mauka'a
1621,names,Kalākaua
1621,names,Kaulilua
1621,names,Kaumealani
1624,names,Kawelo
1624,names,Lanikāula
1626,names,Kaka'e
1626,names,Kaulula'au
1629,names,Hala'ea
1629,names,Koihala
1629,names,Kūloa
1631,names,Kameha'ikana
1635,names,Kauahiakua
1636,names,Kāneiahuea
1639,names,Pele
1640,names,Pele
1641,names,Pele
1642,names,Kapua
1643,names,"Bishop, Bernice Pauahi"
1643,names,Kaiona
1643,names,Pauahi
1644,names,Ka'ōnohiokala
1644,names,La'ieikawai
1644,names,La'ie'ie'ie
1653,names,Pele
1657,names,Kāne
1657,names,Kī'i
1659,names,Keōua-kuahu'ula
1667,names,Kalākaua
1674,names,Ma'ori
1674,names,Paha'ali'i
1676,names,Kīhāpī'ilani
1679,names,Ka'ao'ao
1679,names,Kekaulike
1682,names,Kamehameha III
1687,names,Keawe
1687,names,'Umi
1692,names,Mo'olau
1694,names,Kawelohea
1700,names,Haloa
1707,names,Kalākaua
1708,names,Keawe-nui-a-'Umi
1708,names,Kiwa'a
1708,names,Kuapaka'a
1708,names,Paka'a
1708,names,Pakaa
1708,names,Pāka'a
1711,names,Kahekili
1711,names,Kalani'ōpu'u
1711,names,Kalola
1711,names,Kiwala'ō
1714,names,"Bishop, Bernice Pauahi"
1714,names,Kaiona
1714,names,Pauahi
1729,names,Kāne
1737,names,Kūloupo
1737,names,Pōnahawe
1737,names,Pūkahikola
1737,names,Pukaua
1737,names,Pūkaua
1747,names,Keaulumoku
1750,names,Liloa
1760,names,Kākuhihewa
1760,names,Kalelealuaka
1760,names,Ke'inoho'omanawanui
1768,names,'Ī
1772,names,Kahahana
1772,names,Kākuhihewa
1772,names,Kamehameha III
1772,names,Ka'opūlupulu
1772,names,'Ōhai
1777,names,Kāne
1781,names,Kalaniki'ipule
1784,names,Mahihelelima
1784,names,Pi'imaiwa'a
1785,names,Kahahana
1785,names,Keaweama'uhili
1788,names,Mauliola
1797,names,Lohi'au
1799,names,Kiō'oe
1799,names,Lohi'au
1801,names,Kawaiho'olana
1801,names,Keohokauōuli
1807,names,"Bull, John"
1811,names,Hua
1811,names,Lūaho'omoe
1819,names,Hala'ea
1822,names,Makali'i
1834,names,Limaloa
1843,names,Ehunuikaimalino
1843,names,Liloa
1858,names,Pikoi-a-ka-'alala
1860,names,Ke'eaumoku
1860,names,Kiwala'ō
1869,names,Nī'ikea
1872,names,Kāneheoheo
1887,names,Kaikapii
1893,names,Keawe
1897,names,Waipi'i
1899,names,Lohi'au
1900,names,'Aukele-nui-a-Iku
1904,names,Iwikauikaua
1904,names,Kalākaua
1904,names,Lili'uokalani
1909,names,Limaloa
1913,names,"Kapi'olani, Queen"
1914,names,Liloa
1919,names,"Holmes, Oliver"
1919,names,Homa
1920,names,Kī'i
1920,names,Kumuhea
1929,names,Haoaloa
1931,names,Kauka'ōpua
1938,names,La'ieikawai
1938,names,La'ielohelohe
1938,names,Waka
1942,names,Kalākaua
1942,names,Kama'iopili
1943,names,Kaulula'au
1953,names,Haloa
1956,names,Mauliola
1973,names,Kauhiakama
1985,names,Lauki
1987,names,Kamiki
1990,names,Laumeki
2001,names,Kahalai'a
2006,names,Pana'ewa
2008,names,La'ielohelohe
2014,names,Kekuaokalani
2014,names,Leheleheki'i
2023,names,Ka'ahumanu
2023,names,Kaheiheimalie
2023,names,Luahine
2033,names,Hanakahi
2035,names,Kahiwa
2040,names,Kanemakini
2048,names,Hikapoloa
2052,names,Haloa
2092,names,Makālei
2097,names,Keaweaheulu
2097,names,Keōua-kuahu'ula
2097,names,Kuakahela
2104,names,Kapakahili
2104,names,Pīpī
2108,names,Waipi'i
2109,names,Keawe
2110,names,Keawe-i-kekahi-ali'i-o-ka-moku
2111,names,Ka'ahupāhau
2111,names,Mikololou
2115,names,Pele'ula
2143,names,Kamalālāwalu
2144,names,"Kapīī, Rev. Samuel"
2152,names,Ka'ahupāhau
2159,names,Ma'ori
2160,names,'Uli
2167,names,Nīholopua
2186,names,Kaha'i
2187,names,'Aiwohikupua
2187,names,Kalahumoku
2188,names,Hio
2188,names,Kamiki
2194,names,Hina
2204,names,Haloa
2204,names,Ho'ohōkūkalani
2204,names,Wākea
2205,names,Kāneiahuea
2218,names,Pi'ilani
2225,names,Hala'ea
2235,names,Kalaihaohia
2242,names,Kalani'ōpu'u
2242,names,Mehe'ula
2248,names,Ehunuikaumanamana
2248,names,Kalākaua
2249,names,Lonoikamakahiki
2254,names,Awihikalani
2261,names,Kī'ia
2280,names,"Emma, Queen"
2283,names,Hawea
2283,names,La'amaikahiki
2283,names,'Ōpūkāha'ia
2283,names,'Ōpūnui
2289,names,'Umi
2299,names,Hapu'u
2299,names,Kala'ihauola
2301,names,Liholiho
2301,names,Kamehameha II
2304,names,Hina
2304,names,Hinaulu'ōhi'a
2312,names,Kahelelani
2319,names,Kānehoa
2326,names,"Coan, Rev. Titus"
2326,names,Kanuha
2345,names,Ka'ahumanu
2345,names,Kalama
2345,names,Kamehameha III
2346,names,"Lyman, Rev. David"
2352,names,Lua
2367,names,Hikapoloa
2367,names,Lanihipo
2368,names,Hikapoloa
2371,names,Pō'ele'i
2372,names,Palapala
2385,names,Kamāunuaniho
2389,names,Ho'opaupauaho
2391,names,Pā'iakuli
2392,names,Liholiho
2392,names,Kamehameha II
2397,names,La'ioeoe
2401,names,Pūka'elo
2413,names,Kalaunuiohua
2418,names,Kī'i
2418,names,Lelepa
2420,names,Makakuikalani
2420,names,Pupūkea
2421,names,Makakuikalani
2421,names,Pupūkea
2439,names,'Uli
2444,names,Lanihua
2445,names,Kamalālāwalu
2445,names,Lonoikamakahiki
2445,names,Makakuikalani
2445,names,Pupūkea
2451,names,Kekuhaupi'o
2475,names,Wahine'ōma'o
2479,names,Pana'ewa
2506,names,Lanihua
2507,names,Leleipāle
2509,names,Hi'ipoi
2514,names,Pā
2514,names,Pala'e
2514,names,'Umi
2517,names,Nā'ili'awa
2518,names,Keawe'ōlouha
2521,names,Lili'uokalani
2540,names,Ka'ahumanu
2540,names,Kahalai'a
2541,names,Hoapili
2541,names,'Ulumaheihei
2543,names,Kalaniā'ilioa
2543,names,Kukuaokalalau
2550,names,Huhune
2551,names,Mīkikole
2553,names,"Lyons, Rev. Lorenzo"
2555,names,Limaloa
2556,names,Lu'ukia
2556,names,'Olopana
2565,names,Kahekili
2578,names,Kapi'ioho
2592,names,Moemoe
2596,names,Ipu-a-La'amaomao
2596,names,La'amaomao
2601,names,Ka'ahumanu
2602,names,Liloa
2606,names,Kahekili
2606,names,Peleioholani
2608,names,"Rowell, Rev. George B."
2609,names,Pana'ewa
2610,names,Makali'i
2616,names,'Ōpe'ape'a
2616,names,Pe'ape'a
2621,names,Kamehameha-nui
2621,names,'Ōpe'ape'a
2621,names,Pe'ape'a
2622,names,Ka'ulahaimalama
2622,names,Kekuhaupi'o
2698,names,Hina
2722,names,Makanikeoe
2723,names,'Umi
2730,names,Luhia
2784,names,Ke'inoho'omanawanui
2793,names,Ichabod
2796,names,Hakaio
2796,names,Keamalu
2830,names,Hina
2830,names,Ma'ori
2861,names,Kāne
2890,names,Kanepuniu
2893,names,Wā'awa'a Brothers
2906,names,Kapapaku'i'ali'i
2906,names,Kihalaninui
2906,names,Konakaimehala'i
2906,names,Pi
2906,names,Pili
2918,names,Elani
2918,names,Kahahana
2918,names,Kahekili
2923,names,Kahekili
2923,names,Kalani'ōpu'u
2923,names,Kaleopu'upu'u
2924,names,Kekuaokalani
2924,names,Keōpūolani
2924,names,Liholiho
2924,names,Kamehameha II
