phrase_number,category,tags
5,general,Aging (see also old age)
8,general,"Avoidance, of trouble"
8,general,Avoidance
8,general,"Birds, agitation among"
8,general,Birds
9,general,"Bones, container for"
9,general,Bones
10,general,Caucasians (see also foreigners)
11,general,"Assistance, from gods"
11,general,Assistance
12,general,Confusion
12,general,"Death, in battle"
12,general,Death
13,general,Bait
14,general,"Assistance, lack of"
14,general,Assistance
14,general,"Makali'i, knowledge of"
14,general,Makali'i
16,general,Abundance
17,general,"Le'ahi, ofPunahoa"
17,general,Le'ahi
18,general,Chief/Ali'i
19,general,"Battle of Ka'uwa'upali, of Wailuku"
19,general,Battle of Ka'uwa'upali
20,general,Concealment (see also secret)
21,general,"Bones, container for"
21,general,Bones
21,general,"Kalaihaohia, of supernatural father"
21,general,Kalaihaohia
22,general,"Kaka'e, sea"
22,general,Kaka'e
23,general,Anticipation
23,general,Canoe
25,general,Chatter
30,general,"Death, and return to life"
30,general,Death
31,general,"Ancestors (see also descendants, family, boasting of)"
31,general,"Ancestors (see also descendants, family, discussion of)"
31,general,"Ancestors (see also descendants, family)"
31,general,"Boasting, ancestors"
31,general,"Boasting, only when provoked"
31,general,Boasting
32,general,"Birdcatching, timefor"
32,general,Birdcatching
32,general,"Birds, nest of"
32,general,Birds
33,general,"Children, ages of"
33,general,Children
34,general,"Children, ages of"
34,general,Children
35,general,Careless
36,general,Absence
36,general,"Arms, carried in the"
36,general,Arms
36,general,'Aumakua
36,general,"Back, carried on the"
36,general,Back
36,general,"Canoe, speed of"
36,general,Canoe
36,general,"Makali'i, favorite"
36,general,Makali'i
37,general,Anus
38,general,Bait
38,general,Courtship
39,general,Courtship
40,general,"Bones, immature"
40,general,Bones
40,general,Children
41,general,Absence
42,general,Clouds
43,general,"Clothing (see also helmet, loin cloth/malo, wrinkled)"
43,general,Clothing
44,general,Deafness
45,general,Currents
46,general,"Anger, chiefl"
46,general,Anger
46,general,"Chief/Ali'i, anger of l"
46,general,Chief/Ali'i
46,general,"Confusion, lack of l"
46,general,Confusion
51,general,Anus
51,general,"Chief/Ali'i, servants of"
51,general,Chief/Ali'i
55,general,"Clouds, 'Opua"
55,general,Clouds
60,general,Death
61,general,"Death, decision by gods"
61,general,"Death, fish of"
61,general,Death
62,general,Bats
62,general,"Makali'i, games of"
62,general,Makali'i
63,general,"Baby (see also children), unborn"
63,general,Baby (see also children)
63,general,"Kalaihaohia, plansfor"
63,general,Kalaihaohia
64,general,Appreciation (see also gratitude)
64,general,Cliffs
65,general,Death
68,general,"Birdcatching, discussion of"
68,general,Birdcatching
68,general,"Business, discussion of"
68,general,Currents
69,general,Currents
71,general,"Activity, constant"
71,general,Activity
71,general,Busy
71,general,"Makali'i, knowledge of"
71,general,Makali'i
71,general,"Kalaihaohia, of supernatural father"
71,general,Kalaihaohia
72,general,"Beauty, personal, when old"
72,general,"Beauty, personal"
73,general,Breath
76,general,Ceremony
78,general,"Birds, of KO'olau"
78,general,Birds
79,general,Le'ahi
79,general,"Bosom (see also breast, chest)"
79,general,"Chest (see also bosom, breast)"
80,general,"Anger, arousal of"
80,general,Anger
82,general,Consequences
84,general,Abuse
84,general,Consequences
89,general,Ceremony
90,general,Cold
94,general,Barren
95,general,Clarity
96,general,Clarity
97,general,Kaka'e
103,general,"Baby (see also children), abandoned"
103,general,Baby (see also children)
103,general,"Behavior, extraordinary"
103,general,Behavior
103,general,Belligerence
105,general,Alertness
105,general,Curiosity (see also inquisitiveness)
106,general,"Attraction (see also beauty), of prosperity"
106,general,Attraction (see also beauty)
107,general,Corpse
108,general,Annoyance
111,general,"Chief/Ali'i, servants of"
111,general,Chief/Ali'i
112,general,"Battle of Ka'uwa'upali, to the death"
112,general,Battle of Ka'uwa'upali
113,general,Anger
114,general,Burdens
115,general,Concentration
117,general,Danger
119,general,'Aumakua
123,general,Canoe
123,general,Cold
124,general,Anus
125,general,Appreciation (see also gratitude)
126,general,"Death, sign of"
126,general,Death
127,general,Annoyance
127,general,Currents
129,general,Canoe
129,general,Cooperation (see also unity)
131,general,Capture
131,general,Cleverness
133,general,Children
133,general,Concealment (see also secret)
134,general,"Makali'i, games of"
134,general,Makali'i
134,general,Concealment (see also secret)
135,general,"Bones, of chiif"
135,general,Bones
135,general,"Burdens, of achiif"
135,general,Burdens
135,general,"Chief/Ali'i, death of"
135,general,"Chief/Ali'i, evil"
135,general,Chief/Ali'i
135,general,Concealment (see also secret)
135,general,"Death, of a chief"
135,general,Death
136,general,"Canoe, large"
136,general,Canoe
137,general,Beauty
137,general,Darkness
139,general,"Canoe, on blocks"
139,general,Canoe
140,general,Cleverness
145,general,Capture
149,general,Commoners
151,general,Acceptance
152,general,"Death, of a mate"
152,general,Death
154,general,Attraction (see also beauty)
154,general,"Children, ages of"
154,general,Children
155,general,"Kalaihaohia, raising of"
155,general,Kalaihaohia
156,general,Annoyance
156,general,Deafness
157,general,"Makali'i, labor of"
157,general,Makali'i
158,general,Birds
158,general,Crowded
160,general,Chief/Ali'i
164,general,Kaka'e
164,general,Concealment (see also secret)
