phrase_number,category,tags
1116,fish + aquatic life,Crab
1202,fish + aquatic life,Leho
1202,fish + aquatic life,Cowry
1215,fish + aquatic life,ʻŌpae
1215,fish + aquatic life,Shrimp
1221,fish + aquatic life,Squid
1223,fish + aquatic life,Uhu
1244,fish + aquatic life,Octopus
1244,fish + aquatic life,ʻAlaʻala
1244,fish + aquatic life,Heʻe
1255,fish + aquatic life,Hinalea
1277,fish + aquatic life,ʻAlaʻihi
1296,fish + aquatic life,Squid
1314,fish + aquatic life,Hilu
1318,fish + aquatic life,Shark
1318,fish + aquatic life,Mana
1318,fish + aquatic life,Niuhi
1322,fish + aquatic life,Clam
1323,fish + aquatic life,ʻOʻopu
1324,fish + aquatic life,Manini
1326,fish + aquatic life,Salmon
1327,fish + aquatic life,Clam
1328,fish + aquatic life,ʻŌpae
1328,fish + aquatic life,Shrimp
1329,fish + aquatic life,ʻOʻopu
1330,fish + aquatic life,ʻAnaeholo
1331,fish + aquatic life,Pipi
1331,fish + aquatic life,Oyster
1333,fish + aquatic life,Mahamoe
1335,fish + aquatic life,Miloʻilo
1336,fish + aquatic life,Wana
1336,fish + aquatic life,Sea urchin
1336,fish + aquatic life,Hāʻukeʻuke
1336,fish + aquatic life,Hāwaʻe
1338,fish + aquatic life,Alalauwa
1339,fish + aquatic life,Hinana
1339,fish + aquatic life,ʻOʻopu
1340,fish + aquatic life,ʻOʻopu
1340,fish + aquatic life,ʻŌpae
1340,fish + aquatic life,Shrimp
1341,fish + aquatic life,ʻIʻi
1343,fish + aquatic life,ʻŌpae
1343,fish + aquatic life,Shrimp
1344,fish + aquatic life,Aku
1350,fish + aquatic life,Ulua
1351,fish + aquatic life,Miloʻilo
1352,fish + aquatic life,Mullet
1353,fish + aquatic life,ʻOʻopu
1354,fish + aquatic life,Nerite
1354,fish + aquatic life,Periwinkle
1355,fish + aquatic life,ʻOʻopu
1356,fish + aquatic life,ʻOhiki
1356,fish + aquatic life,Crab
1357,fish + aquatic life,Pipi
1357,fish + aquatic life,Oyster
1358,fish + aquatic life,ʻAʻama
1358,fish + aquatic life,Crab
1359,fish + aquatic life,ʻOhiki
1359,fish + aquatic life,Crab
1363,fish + aquatic life,Honu
1363,fish + aquatic life,Turtle
1364,fish + aquatic life,Miloʻilo
1366,fish + aquatic life,Mullet
1367,fish + aquatic life,Puhi
1367,fish + aquatic life,Eel
1369,fish + aquatic life,Octopus
1369,fish + aquatic life,ʻAlaʻala
1369,fish + aquatic life,Heʻe
1370,fish + aquatic life,Puhi
1370,fish + aquatic life,Eel
1371,fish + aquatic life,ʻIʻi
1372,fish + aquatic life,Hinana
1372,fish + aquatic life,ʻOʻopu
1374,fish + aquatic life,ʻOʻopu
1376,fish + aquatic life,Miloʻilo
1377,fish + aquatic life,Pipi
1377,fish + aquatic life,Oyster
1378,fish + aquatic life,Mullet
1379,fish + aquatic life,Octopus
1379,fish + aquatic life,ʻAlaʻala
1379,fish + aquatic life,Heʻe
1382,fish + aquatic life,Alalauwa
1383,fish + aquatic life,Wana
1383,fish + aquatic life,Sea urchin
1383,fish + aquatic life,Hāʻukeʻuke
1383,fish + aquatic life,Hāwaʻe
1384,fish + aquatic life,Miloʻilo
1385,fish + aquatic life,Octopus
1385,fish + aquatic life,ʻAlaʻala
1385,fish + aquatic life,Heʻe
1415,fish + aquatic life,ʻOpihi
1417,fish + aquatic life,Pāoʻo
1462,fish + aquatic life,ʻAhaʻaha
1470,fish + aquatic life,Salmon
1517,fish + aquatic life,ʻOʻopu
