phrase_number,category,tags
1736,plants,Kalukalu
1744,plants,Hau
1752,plants,Kō
1752,plants,Sugar cane
1754,plants,Kiele
1754,plants,Gardenia
1755,plants,Coffee
1756,plants,Kōpiko
1759,plants,ʻIlima
1759,plants,ʻĀpiki
1783,plants,Pili
1784,plants,ʻŌhiʻa
1792,plants,Hau
1797,plants,Māmane
1895,plants,ʻUlu
1895,plants,Breadfruit
1903,plants,Kakalaioa
1942,plants,ʻUlu
1942,plants,Breadfruit
1949,plants,Lauaʻe
1952,plants,Kī
1952,plants,Ti
1954,plants,Koʻaiʻe
1969,plants,Maile
1969,plants,Hala
1969,plants,Pandanus
1991,plants,Koa
1996,plants,Nīoi
2003,plants,Maiʻa
2003,plants,Banana
2011,plants,Limu
2011,plants,Seaweed
2016,plants,Niu
2016,plants,Coconut
2032,plants,Kohekohe
2044,plants,ʻŌhelo
2075,plants,Maile
2078,plants,ʻUlu
2078,plants,Breadfruit
2080,plants,ʻUlu
2080,plants,Breadfruit
2165,plants,ʻUala
2165,plants,Sweet potato
2175,plants,Maiʻa
2175,plants,Banana
2176,plants,Makaloa
2184,plants,Mokihana
2186,plants,ʻUlu
2186,plants,Breadfruit
2238,plants,Māmane
2240,plants,Niu
2240,plants,Coconut
2255,plants,Līpoa
2264,plants,Maile
2278,plants,Maile
2279,plants,Niu
2279,plants,Coconut
2290,plants,ʻUala
2290,plants,Sweet potato
2291,plants,ʻUala
2291,plants,Sweet potato
2304,plants,Mountain apple
2313,plants,Uhi
2313,plants,Yam
2317,plants,Niu
2317,plants,Coconut
2346,plants,Hāpuʻu
2346,plants,Hōʻīʻo
2349,plants,Maiʻa
2349,plants,Banana
2358,plants,ʻOhai
2362,plants,Mountain apple
2369,plants,Mountain apple
2375,plants,ʻAhuʻawa
2375,plants,ʻAwa
2394,plants,Niu
2394,plants,Coconut
2415,plants,Pīʻaniʻani
2420,plants,Kō
2420,plants,Sugar cane
2421,plants,Maiʻa
2421,plants,Banana
2477,plants,Kō
2477,plants,Sugar cane
2481,plants,ʻUala
2481,plants,Sweet potato
2487,plants,ʻIlima
2487,plants,ʻĀpiki
2489,plants,ʻIlima
2489,plants,ʻĀpiki
2491,plants,ʻUala
2491,plants,Sweet potato
2537,plants,Palaʻai
2537,plants,Pumpkin
