phrase_number,category,tags
2,general,Shyness
2,general,Skill (see also expert)
4,general,"'Ewa, seeking of"
4,general,'Ewa
8,general,"Of bad luck, of storm"
8,general,"Of bad luck, of  trouble"
8,general,Of bad luck
10,general,Nonsense
10,general,Resistance
11,general,Mouth
11,general,Riddling
15,general,Pinworms
15,general,Rude (see also manners)
16,general,"Nets, fish"
16,general,Nets
17,general,Rude (see also manners)
19,general,Pi'ipi'i (warriors of Hawai'i)
20,general,Revelation
20,general,Riddling
20,general,Secret (see also concealment)
20,general,"Seen, all is"
21,general,Obvious
22,general,Modesty
23,general,Planning
23,general,Prudence
24,general,Plains
25,general,Nonsense
26,general,"Possessions, discarded"
26,general,Possessions
26,general,Regret
30,general,Never
30,general,Prophet
31,general,Skill (see also expert)
35,general,"Possessions, mislaid"
35,general,Possessions
36,general,Proximity
37,general,Penis
37,general,Pinworms
37,general,"Of bad luck, disappointment"
37,general,Of bad luck
41,general,"Roots, tap"
41,general,Roots
42,general,Signs
42,general,"Of bad luck, reading of"
42,general,Of bad luck
49,general,Plains
50,general,Rootless
51,general,Mouth
51,general,Pinworms
52,general,Pro of
53,general,Noise
54,general,"Problems (see also difficulties, trouble)"
55,general,Rain of Kona
55,general,Signs of rain
55,general,"Of bad luck, of rain"
55,general,Of bad luck
56,general,Prosperity
56,general,'Ewa
58,general,"Prosperity, in care of gods"
58,general,Prosperity
60,general,Mouth
63,general,Narrowness
63,general,Planning
64,general,Selfishness
67,general,Music
70,general,Repayment/return
70,general,Response
73,general,Nose
77,general,"'Ewa, seeking of"
77,general,'Ewa
82,general,"Mouth, itching"
82,general,Mouth
83,general,Relaxation
83,general,Repair
84,general,Reciprocity
84,general,Retribution
85,general,Rat
86,general,Prosperity
86,general,'Ewa
88,general,"Pigs, stealing of"
88,general,Pigs
88,general,Rebellion
90,general,Protection
90,general,Shelter (see also protection)
93,general,Rainbow
93,general,Of bad luck
94,general,"Progress, lack of"
94,general,Progress
95,general,Obvious
95,general,"Seen, all is"
96,general,Obvious
97,general,Missionaries
97,general,Propriety
97,general,Self-indulgence
98,general,Nudity
99,general,Selfishness
100,general,"Months, Hi/ina"
100,general,Preparation
100,general,Procrastination
100,general,Rain of Hilinehu
100,general,Rain of winter
101,general,Rain of Manoa
103,general,Selfishness
105,general,Protection
106,general,"Prosperity, attraction of"
106,general,Prosperity
107,general,Scavengers
108,general,"Night, noise in the"
108,general,Night
108,general,Noise
110,general,Patience
111,general,"Possessions, mislaid"
111,general,Possessions
111,general,Sandals
112,general,Possessions
112,general,Scrotum
113,general,Reciprocity
114,general,Kama'ole
115,general,"Prayers, common enemy"
115,general,Prayers
118,general,"Pu'uhale, rough"
118,general,Pu'uhale
118,general,Of bad luck
120,general,"Nets, fish"
120,general,Nets
120,general,"Night, cold"
120,general,Night
121,general,"Pu'uhale, rough"
121,general,Pu'uhale
123,general,Silence
125,general,Opportunity
126,general,"Of bad luck, of death"
126,general,Of bad luck
129,general,Recreation
130,general,Self-incrimination
134,general,Puhenehene (game)
135,general,"Mourning (see also burial, death, grief)"
136,general,Protection
136,general,Safety
137,general,"Night, darkness of"
137,general,Night
139,general,Relaxation
140,general,Pillow
140,general,Relaxation
141,general,"Reward, just"
141,general,Reward
143,general,Patience
145,general,Perseverance
147,general,"Pigs, ignorance of"
147,general,Pigs
148,general,Recognition
150,general,Music
151,general,Poi
151,general,Self-respect
152,general,Remarriage
153,general,Mouth
153,general,Names
157,general,Perspiration
162,general,Mouth
162,general,Poi
164,general,Secret (see also concealment)
164,general,"Seen, all is"
165,general,Obstinacy
166,general,"Pigs, straying"
166,general,Pigs
166,general,Preparation
172,general,"Skin, not alike"
172,general,Skin
173,general,Progress
177,general,Reward
180,general,"Possessions, care of"
180,general,Possessions
180,general,Rat
181,general,Nothingness
181,general,Poverty (see also destitution)
185,general,Search
186,general,Selfishness
188,general,Repentance
189,general,Perseverance
191,general,"Mourning (see also burial, death, grief)"
191,general,"Possessions, valued too highly"
191,general,Possessions
194,general,"Problems (see also difficulties, trouble)"
196,general,Presumption
199,general,"Problems (see also difficulties, trouble)"
199,general,"Relief, lack of"
199,general,Shelter (see also protection)
200,general,Shameful
202,general,Pinworms
205,general,"Reward, none is tnfling"
205,general,Reward
206,general,Silence
207,general,"Peace (see also calm), perfect"
207,general,Peace (see also calm)
207,general,Silence
208,general,Perfection
209,general,"Problems (see also difficulties, trouble)"
211,general,"Preparation, importance of"
211,general,Preparation
211,general,Provisions
213,general,"Preparation, importance of"
213,general,Preparation
216,general,Prudence
217,general,Presumption
217,general,Self-help
219,general,Prudence
219,general,Retreat (from danger)
219,general,Running
220,general,Sacrifice
221,general,Production
224,general,Protection
224,general,Servants
226,general,"Rank (see also status), privileges of (see also chief)"
226,general,Rank (see also status)
227,general,Power
232,general,Signs of rain
232,general,"Of bad luck, of rain"
232,general,Of bad luck
233,general,Obedience
234,general,"Pu'uhale, rough"
234,general,Pu'uhale
236,general,"Sea, distant"
236,general,Sea
237,general,Sailing
237,general,Sea
241,general,Red
242,general,"Problems (see also difficulties, trouble)"
244,general,Proximity
244,general,Sailor
244,general,Ships
250,general,Poi
251,general,Satisfaction
252,general,Preparation
252,general,Prudence
252,general,"Salt, as preservative"
252,general,Salt
253,general,Mistreatment
253,general,"Roots, tough"
253,general,Roots
254,general,Prudence
256,general,Signs of rain
256,general,"Of bad luck, of rain"
256,general,Of bad luck
256,general,"Skin, black"
256,general,Skin
257,general,Precaution
262,general,Parents
263,general,Offerings
263,general,"Pigs, as an of fering"
263,general,Pigs
263,general,Reparations
263,general,Repentance
264,general,Mouth
264,general,Reciprocity
264,general,Retribution
264,general,Rude (see also manners)
265,general,"Skin, swollen"
265,general,Skin
266,general,Shoulders
268,general,Sailing
268,general,Sails
269,general,"Remedy, advice on"
271,general,Salt
274,general,Silence
275,general,"Prayers, to the dead"
275,general,Prayers
276,general,Security
277,general,Password
277,general,"Of bad luck, of failure"
277,general,Of bad luck
278,general,Overextension
278,general,"Size, overly large"
278,general,Size
280,general,Protection
280,general,Safety
281,general,"Mouth, shiny"
281,general,Mouth
281,general,"Prosperity, food of"
281,general,Prosperity
282,general,Prophecy
282,general,Religion
284,general,Modesty
284,general,Prudence
286,general,Prudence
287,general,Rotten (see also decomposition)
291,general,"Poi, mixing of"
291,general,Poi
292,general,Size
294,general,Plants
294,general,Replacement
295,general,Old age (see also aging)
296,general,"Sea, broiling"
296,general,Sea
297,general,"Pu'uhale, rough"
297,general,Pu'uhale
299,general,Preparation
302,general,Precaution
302,general,Roots
303,general,Size
304,general,Mouth
305,general,Offerings
306,general,"Seat, of fer of"
308,general,"Rank (see also status), high"
308,general,Rank (see also status)
312,general,Skill (see also expert)
314,general,"Prayers, the last moment"
314,general,Prayers
315,general,Paddle (see also canoe)
315,general,Poi
316,general,Opportunity
316,general,Planting (see also farming)
317,general,Planting (see also farming)
317,general,Preparation
317,general,Self-sufficiency
319,general,Paddle (see also canoe)
321,general,Missionaries
321,general,"Monarchy, overthrow of"
321,general,Power
321,general,Prophecy
321,general,Rebellion
322,general,Roots
326,general,Runners
329,general,Poi
329,general,Preparation
329,general,Provisions
330,general,Rain of Hilo
331,general,Mouth
331,general,Noise
334,general,Security
336,general,Old age (see also aging)
337,general,Old age (see also aging)
338,general,Profound
339,general,"Respect, for knowledge"
339,general,Respect
341,general,Pinworms
342,general,Heavy rain
343,general,Rain of Ualoa
343,general,Much rain
344,general,Responsibilities
345,general,Obedience
346,general,"Parents, care of"
346,general,Parents
346,general,"'jeather""601, respect for"
346,general,"'jeather""601"
346,general,Responsibilities
347,general,"Parents, care of"
347,general,Parents
347,general,"'jeather""601, respect for"
347,general,"'jeather""601"
347,general,Responsibilities
350,general,Scolding/repro of
351,general,Offerings
351,general,"Pigs, as an of fering"
351,general,Pigs
351,general,"Prayers, of forgiveness"
351,general,Prayers
351,general,Repentance
353,general,Patience
354,general,Shyness
356,general,"Of bad luck, the future"
356,general,Of bad luck
357,general,Offerings
357,general,Peace (see also calm)
357,general,"Pigs, as an of fering"
357,general,Pigs
359,general,Rank (see also status)
360,general,Heavy rain
360,general,Provocation of rain
361,general,Pretensions
362,general,"Reward, for serving worthy person"
362,general,Reward
363,general,Offerings
363,general,"Sea, death in (see also drowning)"
363,general,Sea
364,general,Oath
371,general,Peace (see also calm)
372,general,Mouth
372,general,Poi
374,general,"Prayers, oneself"
374,general,Prayers
374,general,Salvation
375,general,Poi
375,general,Salt
377,general,Rain of Kawaupu'u
378,general,"Peace (see also calm), urging of"
378,general,Peace (see also calm)
379,general,Past
380,general,Revelation
380,general,Secret (see also concealment)
381,general,Self-determination
384,general,Peace (see also calm)
385,general,Offerings
385,general,Sacrifice
385,general,"Sea, drowning"
385,general,Sea
386,general,'Ewa
387,general,Natives
393,general,Quiet
396,general,"Rank (see also status), of mate"
396,general,"Rank (see also status), suitors"
396,general,Rank (see also status)
396,general,Red
399,general,"Peace (see also calm), absence of"
399,general,Peace (see also calm)
403,general,"Possessions, loan of"
403,general,Possessions
404,general,Niceties
405,general,"Rain, Attraction to trees"
407,general,"Search, in darkness"
407,general,Search
408,general,Popularity
410,general,Punishment
413,general,Promiscuity
414,general,Russians
414,general,Sailor
414,general,Ships
414,general,Silence
415,general,"Perch, red"
415,general,Rainbow
415,general,Red
416,general,Poi
416,general,Pregnancy
416,general,Malulani
420,general,"Road, covered with grass"
423,general,"Rain, Cessation of"
434,general,Of bad luck
436,general,Rain of Hilo
437,general,Rebuke
437,general,Silence
441,general,"Possessions, avoidance of sharing"
441,general,Possessions
441,general,Shyness
442,general,Mouth
444,general,Promises
445,general,Old age (see also aging)
445,general,Security
446,general,Preparation
448,general,Rain of Hilo
448,general,Lid of rain
451,general,Scarcity (see also lack)
453,general,"'jeather""601"
454,general,Respect
456,general,"Pigs, value of"
456,general,Pigs
456,general,Reward
458,general,Mouth
459,general,Pillow
459,general,"Rain,  Causing suspension of work"
459,general,Relaxation
461,general,Retribution
461,general,Revenge
462,general,Destruction rain
462,general,Rain of Hilo
464,general,La'au
464,general,Planting (see also farming)
465,general,"'Ikuwa, Kaulua"
465,general,'Ikuwa
470,general,Regality
471,general,Misty rain
473,general,Opportunity
473,general,Pu'uhale
474,general,"Pu'uhale, rough"
474,general,Pu'uhale
477,general,Nets
478,general,Pu'uhale
480,general,Restlessness
481,general,Sin
482,general,Pride
482,general,Salt
482,general,Shadow
483,general,Old age (see also aging)
485,general,Money
485,general,Price
488,general,Mouth
490,general,Scattering
492,general,"Mother (see also parents, wife, woman), molds baby's body"
492,general,"Mother (see also parents, wife, woman)"
493,general,Silence
495,general,Reputation
496,general,"Mountain (see also hill, summit)"
497,general,Rumor (see also gossip)
499,general,Sand
500,general,"'jeather""601"
504,general,"Skill, in surfing"
504,general,Skill (see also expert)
505,general,Mouth
505,general,Pigs
505,general,Pursuit
507,general,Perseverance
508,general,Of bad luck
510,general,Results
513,general,Restlessness
514,general,Names
514,general,Recognition
514,general,Rest (see also relaxation)
515,general,Peace (see also calm)
515,general,Relaxation
519,general,Neck
520,general,Reciprocity
523,general,"Skin, dark"
523,general,Skin
524,general,"Path (see also road, trail)"
525,general,Prudence
529,general,Noise
530,general,Sea
531,general,Servants
532,general,Peace (see also calm)
533,general,Servants
540,general,"Rank (see also status), awareness of"
540,general,"Rank (see also status), of mate"
540,general,"Rank (see also status), preservation of"
540,general,Rank (see also status)
541,general,Mountain rain
542,general,"Mouth, small"
542,general,Mouth
542,general,Quiet
544,general,Threat of rain
547,general,Poisonous
549,general,Nudity
549,general,Running
549,general,Of bad luck
550,general,"Mokoli'i, of 'O'okala"
550,general,Mokoli'i
552,general,Murder
552,general,Peace (see also calm)
552,general,Safety
552,general,Security
553,general,Righteousness
557,general,Rainbow
557,general,Signs
559,general,"Road, covered with grass"
560,general,Pretensions
560,general,"Rank (see also status), low"
560,general,"Rank (see also status), pretense of"
560,general,Rank (see also status)
561,general,Shelter (see also protection)
562,general,"Of bad luck, of life"
562,general,Of bad luck
564,general,Mistreatment
566,general,Reward
571,general,Pride
574,general,Preoccupied
575,general,Neck
576,general,"Relationship, blood"
578,general,Pregnancy
578,general,Quiet
579,general,Roots
580,general,Signs
581,general,"Problems (see also difficulties, trouble)"
582,general,Rain of Alaka'i
582,general,Much rain
585,general,"Problems (see also difficulties, trouble)"
587,general,"Night, revelation of"
587,general,Night
587,general,Revelation
587,general,Signs
590,general,Odor (see also fragrance)
595,general,Provocation
595,general,Size
596,general,Seed
598,general,"Of bad luck, of death"
598,general,Of bad luck
600,general,"Nostril, hair in"
601,general,"'jeather""601"
602,general,Skill (see also expert)
603,general,Payment
603,general,Reward
606,general,Nets
610,general,Pu'uhale
611,general,"Rank (see also status), low"
611,general,"Rank (see also status), permanence of"
611,general,Rank (see also status)
612,general,"Preparation, importance of"
612,general,Preparation
615,general,Parasite (see also exploitation)
619,general,Morning
619,general,Persistence
620,general,"Recognition, of appropriate thing to do"
620,general,Recognition
620,general,Righteousness
622,general,"Perception, extra-sensory"
622,general,"Sight, second"
623,general,Size
624,general,Size
625,general,Size
627,general,Size
630,general,Skin
631,general,"Rank (see also status), of mate"
631,general,"Rank (see also status), preservation of"
631,general,Rank (see also status)
633,general,Promiscuity
634,general,"Rain, Baking of"
637,general,"Names, fragrant"
637,general,Names
637,general,Reputation
640,general,Missionaries
640,general,"Prayers, to death"
640,general,Prayers
644,general,Poi
649,general,"Skill, in surfing"
649,general,Skill (see also expert)
650,general,Prudence
650,general,"Restraint, urging of"
651,general,Plains
652,general,"Sea, eroding"
652,general,Sea
653,general,"Pu'uhale, wild"
653,general,Pu'uhale
656,general,Nudity
657,general,Nets
659,general,"Sea, in"
659,general,Sea
662,general,"Parents, care of"
662,general,Parents
662,general,"'jeather""601, children with"
662,general,"'jeather""601"
665,general,Rank (see also status)
668,general,"'jeather""601, unknown or uncertain"
668,general,"'jeather""601"
668,general,Shade
671,general,Makali'i
671,general,Planting (see also farming)
672,general,"Skin, easily"
672,general,Skin
673,general,Heavy rain
673,general,Pouring rain
674,general,"Of bad luck, of kapu"
674,general,Of bad luck
675,general,Skill (see also expert)
677,general,Reef
680,general,Overlooked/oversight
680,general,"Skill, overlooked"
680,general,Skill (see also expert)
681,general,"Pigs, fierce"
681,general,"Pigs, rooting of"
681,general,Pigs
682,general,Rank (see also status)
682,general,Reflection
684,general,"Planting (see also farming), care in"
684,general,Planting (see also farming)
684,general,Plants
686,general,Paddle (see also canoe)
688,general,Music
688,general,Parents
690,general,Possessions
695,general,Of bad luck
699,general,"Prayers, take time to work"
699,general,Prayers
701,general,Presumption
701,general,Pretensions
706,general,Permanence
706,general,Screw
706,general,Screwdriver
707,general,"'jeather""601"
711,general,Prosperity
714,general,"Skill, great"
714,general,Skill (see also expert)
717,general,Heavy rain
718,general,Security
718,general,Sky
719,general,Parents
720,general,Rootless
724,general,Nets
726,general,Skill (see also expert)
728,general,Old age (see also aging)
732,general,Prophecy
733,general,Misty rain
734,general,Red
734,general,"Sea, in"
