phrase_number,category,tags
3,general,Flowers
4,general,"Eyes, of athiefl"
4,general,Eyes
7,general,"Dog, obedience of"
7,general,Dog
9,general,Errors
9,general,Faults
10,general,Foreigners (see also Caucasians)
13,general,"Food, choice or not choice"
13,general,Food
14,general,Deceit
14,general,Disappointment
14,general,Fishermen
14,general,"Flight, from trouble"
14,general,Flight
15,general,Disbelief
15,general,Excrement
16,general,"Dog, obedience of"
16,general,Dog
16,general,Fishing
16,general,Food
17,general,Disbelief
17,general,Excrement
18,general,Delusion
21,general,Exposure
22,general,Exposure
22,general,Genitals
23,general,Expectation
23,general,"Fish, until caught"
23,general,Fish
23,general,Fishing
24,general,Desertion
25,general,Departure
27,general,Disappointment
29,general,Eyes
30,general,Futility
31,general,"Face, slapped"
31,general,Face
31,general,Genealogy
36,general,"Departure, of loved one"
36,general,Departure
37,general,"Disappointment, signs of"
37,general,Disappointment
37,general,"Dreams, of genitals"
37,general,Dreams
37,general,"Genitals, in dreams"
37,general,Genitals
38,general,"Enticement/lure, of man"
38,general,Enticement/lure
38,general,Fishing
39,general,"Enticement/lure, of man"
39,general,Enticement/lure
39,general,Fishing
46,general,Destitution (see also poverty)
47,general,Drunkenness
49,general,Futility
51,general,Excrement
51,general,Flatulence
51,general,Genealogy
52,general,"Fish, plentiful"
52,general,Fish
53,general,"Flowers, inwindl"
53,general,Flowers
56,general,Exploitation (see also parasite)
58,general,"Gods, home of"
58,general,"Gods, prerogatives of"
58,general,Gods
59,general,"Food, scent of"
59,general,Food
60,general,"Destruction, by words"
60,general,Destruction
61,general,"Gods, prerogatives of"
61,general,Gods
62,general,Fishing
62,general,"Games, of children"
62,general,Games
63,general,Eyes
64,general,"Eating, voracious"
64,general,"Eating, thought for the future"
64,general,Eating
64,general,"Food, for others"
64,general,Food
68,general,"Destination, inquiry as to"
68,general,"Failure, tempting"
68,general,Failure
68,general,Feet/foot
68,general,"Fishing, re"
68,general,"Fishing, re"
68,general,Fishing
69,general,Future
70,general,Favors
70,general,"Food, kind"
70,general,Food
72,general,Flowers
73,general,"Family, as to health"
73,general,Family
73,general,"Friend, to health"
73,general,Friend
75,general,Eating
76,general,Eating
77,general,"Departure, from feast"
77,general,"Departure, premature"
77,general,Departure
77,general,Eating
77,general,Feasts
78,general,Feasts
78,general,"Food, delicious"
78,general,Food
80,general,"Dust, red"
80,general,"Dust, rising"
80,general,Dust
81,general,"Face, of ali'i/chief"
81,general,Face
82,general,Eating
82,general,Eating
83,general,"Eating, of taro"
83,general,Eating
84,general,"Dog, eats own vomit"
84,general,Dog
84,general,"Eating, of vomit"
84,general,Eating
85,general,"Eating, habits of rats"
85,general,Eating
85,general,"Excrement, of rats"
85,general,Excrement
86,general,Eating
86,general,Exploitation (see also parasite)
86,general,Foreigners (see also Caucasians)
87,general,"Destruction, by sorcery"
87,general,Destruction
87,general,"Eating, of filth"
87,general,Eating
87,general,"Excrement, use in sorcery"
87,general,Excrement
87,general,"Gods, of destruction"
87,general,Gods
89,general,Eating
89,general,Flatulence
90,general,Fear
92,general,Desires
92,general,"Eyes, longing"
92,general,Eyes
93,general,"Eyes, red"
93,general,Eyes
93,general,"Food, under-cooked"
93,general,Food
94,general,Gain
97,general,Fling
98,general,Destitution (see also poverty)
99,general,Excrement
99,general,Exploitation (see also parasite)
104,general,Eyes
105,general,Familiarity
106,general,"Food, scent of"
106,general,Food
107,general,Eating
108,general,Disturbance
109,general,Eyes
111,general,Forgetfulness
112,general,Destitution (see also poverty)
112,general,Genitals
115,general,Enemy
116,general,Disagreeable
118,general,Disturbance
118,general,"Fragrance, of seaweed"
118,general,Fragrance
119,general,"Earth, nature of"
119,general,Earth
120,general,Effort
120,general,Fishing
120,general,Futility
123,general,Fish
123,general,Fishing
124,general,"Food, choosiness about"
124,general,Food
124,general,Fussiness
125,general,Farmers
125,general,Fishermen
125,general,Food
125,general,Giving
126,general,Disturbance
128,general,"Fragrance, of roasted kukui"
128,general,Fragrance
129,general,"Fishing, in good weather"
129,general,Fishing
130,general,Errors
131,general,Elusiveness
131,general,Escape
131,general,"Gods, approval of"
131,general,Gods
132,general,Futility
134,general,"Games, of children"
134,general,Games
141,general,Deeds
144,general,Eggs
144,general,Generosity
145,general,Elusiveness
146,general,"Food, sufficient"
146,general,Food
147,general,Exploitation (see also parasite)
148,general,Estrangement
148,general,"Friend, refusal to recognize"
148,general,"Friend, snub by"
148,general,Friend
149,general,"Family, refusal to recognize"
149,general,Family
149,general,"Friend, refusal to recognize"
149,general,Friend
150,general,"Ear, base of"
150,general,Ear
152,general,"Earth, red"
152,general,Earth
153,general,"Food, entering mouth"
153,general,Food
156,general,Disobedience
156,general,"Ear, hairy"
156,general,Ear
157,general,"Effort, little"
157,general,Effort
159,general,"Gods, presence of"
159,general,Gods
161,general,Departure
161,general,Distraction/distracted
161,general,Excuses
161,general,"Fish, small"
161,general,Fish
162,general,"Eating, of poi"
162,general,Eating
162,general,Fingers
163,general,Flies
166,general,Evi
166,general,Fences
167,general,"Dog, others"
167,general,Dog
167,general,"Gods, others"
167,general,Gods
168,general,Food
169,general,Flies
169,general,Foolishness
170,general,Destruction
172,general,Equality
172,general,Family
173,general,Gain
174,general,Distance
175,general,Distance
176,general,Experience
176,general,"Fishing, for shrimp"
176,general,Fishing
178,general,Fishing
179,general,Fear
181,general,Destitution (see also poverty)
182,general,Food
182,general,"Friend, consideration for"
182,general,Friend
184,general,Fatalism
184,general,Futility
185,general,Desires
185,general,Eyes
186,general,Exploitation (see also parasite)
186,general,Famine
186,general,"Food, lack of"
186,general,Food
187,general,Generosity
188,general,"Errors, don't cause death"
188,general,Errors
188,general,"God, caterpillar"
190,general,Equality
191,general,Evi
191,general,"Family, not valuing"
191,general,Family
191,general,Friend
193,general,"Food, burned"
193,general,Food
194,general,"Food, burned"
194,general,Food
196,general,Genealogy
197,general,Details
197,general,Discussion
202,general,Excrement
204,general,Family
204,general,Fish
204,general,"Friend, avoidance of"
204,general,Friend
205,general,Gifts
209,general,Effort
211,general,"Food, fortravel"
211,general,Food
211,general,Generosity
211,general,"Gifts, whenvisiting"
211,general,Gifts
212,general,Flea
213,general,"Food, reached with stick"
213,general,Food
213,general,"Gathering, of food (see also fishing),"
216,general,Defiance
217,general,Feet/foot
217,general,Fish
218,general,Deceit
219,general,"Destruction, danger of"
219,general,Destruction
219,general,Disgrace
219,general,"Flight, timefor"
219,general,Flight
220,general,Drowning
220,general,Futility
221,general,Fish
224,general,"Friend, high-ranking people"
224,general,Friend
225,general,Endurance
225,general,Fire
226,general,Fish
228,general,Experience
228,general,Familiarity
231,general,Equality
234,general,Endurance
238,general,Fishpond
240,general,Fishpond
241,general,Deceit
241,general,Exposure
241,general,Eyelids
241,general,"Eyes, show contempt"
241,general,Eyes
241,general,Genitals
242,general,Endurance
243,general,Disagreeable
243,general,Dislike
243,general,Distaste
244,general,Forgetfulness
248,general,Flirtation
250,general,"Food, choice or not choice"
250,general,Food
251,general,"Eating, what is available"
251,general,Eating
252,general,"Eating, with thought for the future"
252,general,Eating
253,general,Descendants
255,general,Eyelashes
260,general,Encouragement
261,general,"Eating, arrives"
261,general,Eating
263,general,"Errors, attempt to rectify"
263,general,Errors
263,general,"Gods, to"
263,general,Gods
267,general,Eyes
267,general,Familiarity
268,general,Errors
271,general,Decomposition (see also rotten)
271,general,Evi
271,general,Flowers
271,general,Food
273,general,Eating
274,general,Fishing
275,general,"Family, spirits aiding"
275,general,Family
275,general,Ghosts/spirits
277,general,Eating
278,general,"Food, patch"
278,general,Food
279,general,"Destination, inquiry as to"
279,general,"Dog, supernatural"
279,general,Dog
279,general,Evasion
279,general,Gifts
281,general,"Food, choice or not choice"
281,general,"Food, rich"
281,general,Food
282,general,Earth
282,general,Future
283,general,Experience
284,general,Egotism
288,general,Endurance
293,general,Eating
294,general,"Departure, replacement for one who has gone"
294,general,Departure
296,general,Fishing
298,general,Defiance
302,general,"Destruction, when small"
302,general,Destruction
305,general,"Friend, greeting of"
305,general,Friend
307,general,Fishing
308,general,Genealogy
309,general,Errors
310,general,"Dog, love wasted on"
310,general,Dog
312,general,"Fighting (see also battle, warfare)"
313,general,"Destruction, of others"
313,general,Destruction
314,general,"Fish, in sluice gate"
314,general,Fish
314,general,Fishing
314,general,"Gate, sluice"
315,general,"Eating, of poi"
315,general,Eating
315,general,Fingers
318,general,Destruction
318,general,Eyelids
318,general,"Ghosts/spirits, of Lana'i"
318,general,Ghosts/spirits
320,general,"Fighting (see also battle, warfare), challenge to"
320,general,"Fighting (see also battle, warfare)"
321,general,Future
322,general,"Family, among"
322,general,Family
324,general,Errors
325,general,Details
326,general,Effort
329,general,Eyebrows
329,general,"Food, vegetable"
329,general,Food
337,general,Elders
338,general,Desires
338,general,Fish
340,general,Futility
344,general,"Gods, duty of"
344,general,Gods
346,general,Elders
346,general,"Food, of chiefs"
346,general,Food
347,general,Elders
351,general,Errors
351,general,Forgiveness
351,general,"Gods, of fenses against"
351,general,"Gods, to"
351,general,Gods
356,general,Future
359,general,"Descendants, of chiefs"
359,general,Descendants
360,general,"Flowers, on way to uplands"
360,general,Flowers
363,general,Despair
364,general,"God, caterpillar"
364,general,"Gods, a witness"
364,general,Gods
369,general,Equanimity
369,general,Generosity
370,general,"Gods, kapu of"
370,general,Gods
371,general,Encouragement
372,general,"Eating, of poi"
372,general,Eating
372,general,Fingers
375,general,"Diaphragm (see also chest, stomach)"
375,general,Eating
375,general,"Food, humble"
375,general,Food
377,general,Forehead
381,general,Encouragement
382,general,"Gathering, of food (see also fishing),"
385,general,Drowning
388,general,Generosity
389,general,Dog
394,general,"Departure, left behind at"
394,general,Departure
397,general,"Friend, desertion of"
397,general,Friend
398,general,"Departure, left behind at"
398,general,Departure
400,general,"Departure, anger"
400,general,Departure
402,general,Extravagance
403,general,Giving
405,general,Forests
407,general,"Games, of chiefs"
407,general,Games
409,general,Flirtation
409,general,"Flowers, field"
409,general,Flowers
